# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       8.5451320      0.58996403       18.648853
2.750       8.7964594      0.56353418       19.431854
2.750       9.0477868      0.54830648       20.574094
2.750       9.2991143      0.51758596       21.085189
2.750       9.5504417      0.51046133       22.527006
2.750       9.8017691      0.49468424       23.599985
2.750       10.053096      0.47957079       24.684398
2.750       10.304424      0.45954480       25.472365
2.750       10.555751      0.44101444       26.277892
2.750       10.807079      0.41944770       26.820880
2.750       11.058406      0.41069418       28.136263
2.750       11.309734      0.40444267       29.640420
2.750       11.561061      0.38789308       30.365145
2.750       11.812388      0.37916081       31.659704
2.750       12.063716      0.36544293       32.503723
2.750       12.315043      0.35870498       33.940285
2.750       12.566371      0.34245714       34.427547
2.750       12.817698      0.33789883       36.048488
2.750       13.069025      0.32703521       36.982340
2.750       13.320353      0.31902816       38.198514
2.750       13.571680      0.30493647       38.617174
2.750       13.823008      0.29925141       40.041848
2.750       14.074335      0.29039804       41.015461
2.750       14.325663      0.28304875       42.157577
2.750       14.576990      0.27613185       43.330163
2.750       14.828317      0.27037319       44.659052
2.750       15.079645      0.26252593       45.605350
2.750       15.330972      0.25920255       47.317154
2.750       15.582300      0.24710787       47.364339
2.750       15.833627      0.24580184       49.430684
2.750       16.084954      0.23698987       49.964270
2.750       16.587609      0.22992080       53.161827
2.750       17.090264      0.21613184       54.655684
2.750       17.592919      0.21031827       58.017761
2.750       18.095574      0.19680384       59.077335
2.750       18.598229      0.18729591       61.039827
2.750       19.100883      0.18562185       65.532949
2.750       19.603538      0.17365690       66.277434
2.750       20.106193      0.17312327       71.287804
2.750       20.608848      0.16231397       71.975930
2.750       21.111503      0.15853060       75.568501
2.750       21.614157      0.15100875       77.248010
2.750       22.116812      0.14623492       80.147309
2.750       22.619467      0.14311316       83.906757
2.750       23.122122      0.13443719       84.192371
2.750       23.624777      0.13379051       89.371431
2.750       24.127432      0.12916292       91.905477
2.750       24.630086      0.12368690       93.624990
2.750       25.132741      0.11937676       96.008487
2.750       25.635396      0.11582057       98.849859
2.750       26.138051      0.11594002       104.88738
2.750       26.640706      0.11110583       106.42515
2.750       27.143361      0.10664914       108.04843
2.750       27.646015      0.10299648       110.25296
2.750       28.148670      0.10073345       113.81975
2.750       28.651325     0.096945062       115.51279
2.750       29.153980     0.095395713       119.75473
2.750       29.656635     0.090806037       119.99153
2.750       30.159289     0.089403226       124.24724
2.750       30.661944     0.088238288       128.86246
2.750       31.164599     0.087240284       133.77408
2.750       31.667254     0.082863257       133.31023
2.750       32.169909     0.081056134       136.71168
2.750       33.175218     0.079684135       147.39525
2.750       34.180528     0.073610857       148.91843
2.750       35.185838     0.071391414       157.55055
2.750       36.191147     0.066512145       159.72697
2.750       37.196457     0.064492983       168.14635
2.750       38.201767     0.064035971       180.86086
2.750       39.207076     0.059664324       182.17063
2.750       40.212386     0.057538556       189.54344
2.750       41.217696     0.053673330       190.40569
2.750       42.223005     0.053706197       204.80572
2.750       43.228315     0.049706808       203.41878
2.750       44.233625     0.049092187       215.24854
2.750       45.238934     0.047873170       224.54301
2.750       46.244244     0.046776659       234.35407
2.750       47.249554     0.045817903       244.84915
2.750       48.254863     0.043130141       245.51295
2.750       49.260173     0.041313873       250.18079
2.750       50.265482     0.040524170       260.73177
2.750       51.270792     0.038372262       261.99786
2.750       52.276102     0.038700829       280.09161
2.750       53.281411     0.037957095       290.86427
2.750       54.286721     0.034836595       282.34935
2.750       55.292031     0.035883553       307.29346
2.750       56.297340     0.034814897       314.70164
2.750       57.302650     0.033896555       323.10966
2.750       58.307960     0.033403251       335.46138
2.750       59.313269     0.032524308       343.82220
2.750       60.318579     0.031528036       350.52619
2.750       61.323889     0.029917215       349.52679
2.750       62.329198     0.029836287       366.00722
2.750       63.334508     0.028743638       369.94161
2.750       64.339818     0.029624230       399.72085
2.750       66.350437     0.028341851       419.40135
2.750       68.361056     0.025987798       420.59686
2.750       70.371675     0.025863455       456.61531
2.750       72.382295     0.024734888       475.20089
2.750       74.392914     0.023494920       490.04837
2.750       76.403533     0.023832641       538.49635
2.750       78.414153     0.021883925       534.53831
2.750       80.424772     0.021493155       566.42179
2.750       82.435391     0.021418343       607.85116
2.750       84.446011     0.020091982       612.95763
2.750       86.456630     0.019662836       643.74123
2.750       88.467249     0.019576004       686.66019
2.750       90.477868     0.019157495       718.84634
2.750       92.488488     0.019259309       771.92302
2.750       94.499107     0.017578840       751.52526
2.750       96.509726     0.017411456       792.90031
2.750       98.520346     0.018221050       882.71688
2.750       100.53096     0.016638650       856.42215
2.750       102.54158     0.016502231       901.39053
2.750       104.55220     0.015610164       903.81033
2.750       106.56282     0.016155191       990.37465
2.750       108.57344     0.015237402       987.98878
2.750       110.58406     0.014776800       1012.3444
2.750       112.59468     0.014827543       1072.2426
2.750       114.60530     0.014892871       1135.6979
2.750       116.61592     0.013987683       1123.8013
2.750       118.62654     0.014218850       1202.4868
2.750       120.63716     0.014342583       1275.6775
2.750       122.64778     0.015162038       1417.1208
2.750       124.65840     0.013466200       1321.5388
2.750       126.66902     0.014061194       1447.7836
2.750       128.67964     0.013561523       1463.8891
2.750       132.70087     0.011303955       1338.2030
2.750       136.72211     0.012384611       1603.4998
2.750       140.74335     0.011359017       1604.3335
2.750       144.76459     0.010944952       1682.1748
2.750       148.78583     0.010559644       1761.9933
2.750       152.80707     0.011099757       2006.3839
2.750       156.82831     0.010800725       2110.5542
2.750       160.84954     0.011359669       2394.9443
2.750       164.87078    0.0094334902       2141.7746
2.750       168.89202    0.0097640919       2383.0300
2.750       172.91326    0.0094214709       2467.5949
2.750       176.93450     0.010598940       2974.2006
2.750       180.95574    0.0089453548       2685.2511
