# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       253.33803   1.2318070e-05       10.146450
2.750       257.35927   2.6433060e-05       22.826386
2.750       265.40175  -7.9763354e-05      -75.541395
2.750       273.44422  -8.6329103e-05      -89.419812
2.750       281.48670   0.00012079608       136.48872
2.750       289.52918  -2.8132390e-05      -34.590267
2.750       297.57166   0.00015545654       207.51712
2.750       305.61413   5.2344475e-05       75.693993
2.750       313.65661  -0.00010467174      -163.63003
2.750       321.69909   5.5255107e-05       93.194905
2.750       329.74156   5.1104674e-05       92.822222
2.750       337.78404   3.7445452e-05       73.111672
2.750       345.82652   3.3864016e-05       70.955097
2.750       353.86900   2.2548785e-05       50.619862
2.750       361.91147   2.7897193e-05       66.994295
2.750       369.95395  -6.5240735e-05      -167.35247
2.750       377.99643  -6.4980452e-05      -177.79358
2.750       386.03891  -4.3096363e-05      -125.60418
2.750       394.08138  -2.1706739e-05      -67.301167
2.750       402.12386  -7.2152565e-07      -2.3768488
2.750       410.16634   0.00012207868       426.76631
2.750       418.20881  -0.00013777648      -510.53425
2.750       426.25129  -3.9171657e-05      -153.68778
2.750       434.29377   2.6466925e-05       109.83090
2.750       442.33625  -3.3098720e-05      -145.12393
2.750       450.37872  -1.5374945e-05      -71.156966
2.750       458.42120   1.3969081e-05       68.176101
2.750       466.46368  -6.1943055e-05      -318.50509
2.750       474.50615  -1.3456510e-05      -72.833009
2.750       482.54863   5.8651488e-05       333.86628
2.750       490.59111   4.7278629e-05       282.80960
2.750       498.63359   7.5739897e-05       475.70701
2.750       506.67606  -7.7260536e-05      -509.11880
2.750       514.71854  -2.6157093e-07      -1.8070459
2.500     0.062831853       406.84591    0.0051125765
2.500      0.12566371       655.24291     0.065872202
2.500      0.18849556       249.89244     0.084786508
2.500      0.25132741       175.80860      0.14139366
2.500      0.31415927       113.92549      0.17895374
2.500      0.37699112       84.062247      0.22817319
2.500      0.43982297       62.175464      0.26799274
2.500      0.50265482       48.933854      0.31483953
2.500      0.56548668       38.259124      0.35048740
2.500      0.62831853       33.825012      0.42505763
2.500      0.69115038       29.434254      0.49231259
2.500      0.75398224       23.618755      0.51287391
2.500      0.81681409       21.679802      0.59854284
2.500      0.87964594       19.161671      0.66073505
2.500      0.94247780       17.074822      0.72416885
2.500       1.0053096       15.478854      0.79672534
2.500       1.0681415       13.826933      0.85365521
2.500       1.1309734       12.654562      0.92741581
2.500       1.1938052       11.963493       1.0311662
2.500       1.2566371       10.830172       1.0887676
2.500       1.3194689       10.141257       1.1802107
2.500       1.3823008       9.5007919       1.2712697
2.500       1.4451326       8.6876259       1.3282948
2.500       1.5079645       8.2281683       1.4293769
2.500       1.5707963       7.7413391       1.5200084
2.500       1.6336282       7.2778622       1.6074362
2.500       1.6964600       6.9780848       1.7259865
2.500       1.7592919       6.7482132       1.8615416
2.500       1.8221237       6.2158279       1.9050345
2.500       1.8849556       6.0153717       2.0409675
2.500       1.9477874       5.6858823       2.1285939
2.500       2.0106193       5.5192208       2.2726762
2.500       2.0734512       5.1987077       2.3477242
2.500       2.1362830       5.0432611       2.4909102
2.500       2.1991149       4.7780700       2.5743436
2.500       2.2619467       4.5541415       2.6700776
2.500       2.3247786       4.5527589       2.8979420
2.500       2.3876104       4.3004274       2.9653248
2.500       2.4504423       4.2637203       3.1782817
2.500       2.5132741       4.0263157       3.2381552
2.500       2.5761060       3.9718931       3.4400043
2.500       2.6389378       3.7503978       3.4916851
2.500       2.7017697       3.6942569       3.6909853
2.500       2.7646015       3.6377915       3.8940874
2.500       2.8274334       3.5085125       4.0176346
2.500       2.8902652       3.4102447       4.1712758
2.500       2.9530971       3.2770074       4.2754404
2.500       3.0159289       3.1889223       4.4317731
2.500       3.0787608       3.0980199       4.5801775
2.500       3.1415927       3.0485247       4.7886114
2.500       3.2044245       2.9390655       4.8992507
2.500       3.2672564       2.9227093       5.1642294
2.500       3.3300882       2.8175933       5.2712763
2.500       3.3929201       2.7332439       5.4084091
2.500       3.4557519       2.6374220       5.5141370
2.500       3.5185838       2.6029630       5.7443638
2.500       3.5814156       2.5112477       5.8441854
2.500       3.6442475       2.4822957       6.0862161
2.500       3.7070793       2.4415248       6.3012546
2.500       3.7699112       2.3450178       6.3651664
2.500       3.8327430       2.3099338       6.5886874
2.500       3.8955749       2.2565513       6.7581860
2.500       3.9584067       2.2027653       6.9214923
